,stand,hit,double down,split,surrender
upcard: 7 hand: 16 cv bin: 0,-47.87347723872628,-37.49643249414026,-69.47368421052622,0.0,0
upcard: 8 hand: 9 cv bin: 0,-49.999999999999986,6.964073231321624,-16.7311411992263,0.0,0
upcard: 8 hand: 4 4 cv bin: 1,-53.55450236966825,-5.579302587176602,-35.185185185185226,-41.33738601823707,0
upcard: 8 hand: 10 cv bin: 1,-65.88235294117646,20.65244986037058,29.231237547044422,0.0,0
upcard: 8 hand: A 10 cv bin: 1,97.57336928341824,29.007633587786255,9.30232558139535,0.0,0
upcard: A hand: A 8 cv bin: 0,20.38587848932682,-4.840940525587829,-23.026315789473685,0.0,0
upcard: A hand: 14 cv bin: 0,-66.51501364877167,-42.77814853656255,-93.77289377289377,0.0,0
upcard: 3 hand: A 3 cv bin: 1,-9.502262443438918,2.216525934861293,-0.22271714922049052,0.0,0
upcard: 5 hand: 19 cv bin: 1,45.3274780855391,-84.44444444444447,-200.0,0.0,0
upcard: 7 hand: 20 cv bin: 2,79.11931038269292,-71.42857142857143,-169.23076923076923,-500.0,0
upcard: 6 hand: 11 cv bin: 2,-6.122448979591836,50.90152565880721,87.75928982468676,0.0,0
upcard: A hand: A 2 cv bin: 1,-52.189781021897794,-11.401921202840013,-95.50561797752809,0.0,0
upcard: A hand: 18 cv bin: 1,-18.64515220924126,-71.7131474103586,-153.48837209302326,0.0,0
upcard: 2 hand: 5 5 cv bin: 1,-24.193548387096776,24.879227053140102,42.77613971422091,-164.70588235294116,0
upcard: 2 hand: 14 cv bin: 1,-29.077270972367717,-36.33337600819375,-65.37717601547386,0.0,0
upcard: A hand: Q Q cv bin: 2,61.46808510638298,-87.09677419354838,-171.42857142857142,16.80672268907563,0
upcard: A hand: 3 3 cv bin: 1,-63.97849462365591,-33.6206896551723,-170.58823529411765,-93.10344827586206,0
upcard: A hand: 8 cv bin: 1,-63.82978723404262,-24.479252541907126,-89.10256410256409,0.0,0
upcard: 10 hand: 6 cv bin: 1,-61.30592503022971,-34.523346723683844,-111.6666666666667,0.0,0
upcard: 8 hand: 11 cv bin: 2,-76.27118644067797,29.07225309961521,45.633511908603445,0.0,0
upcard: 10 hand: 9 9 cv bin: 2,-17.409628084810723,-67.45098039215681,-114.66666666666667,-33.83270911360802,0
upcard: 4 hand: 17 cv bin: 1,-6.012387996872925,-48.302872062663155,-103.79746835443038,0.0,0
upcard: 7 hand: A 8 cv bin: 0,59.13602941176468,18.918918918918923,22.991071428571423,0.0,0
upcard: 10 hand: A 6 cv bin: 0,-35.56840077071291,-14.71161340607953,-43.87617765814264,0.0,0
upcard: 4 hand: 18 cv bin: 1,17.45201726347416,-59.34959349593496,-176.1904761904762,0.0,0
upcard: 2 hand: 15 cv bin: 1,-27.3953937668413,-42.08284939992256,-81.55737704918036,0.0,0
upcard: 3 hand: 15 cv bin: 1,-23.51345146411215,-46.38655462184873,-141.8181818181818,0.0,0
upcard: 5 hand: 15 cv bin: 1,-13.584293821155438,-40.61784897025167,-75.39267015706811,0.0,0
upcard: 5 hand: 18 cv bin: 2,27.718678151058622,-60.00000000000002,-102.22222222222223,0.0,0
upcard: 10 hand: 3 3 cv bin: 0,-51.13168724279836,-29.175336764866962,-131.34328358208955,-42.704626334519574,0
upcard: 6 hand: 9 cv bin: 1,-20.5761316872428,24.193208183927428,37.65787991740627,0.0,0
upcard: 5 hand: 12 cv bin: 2,-6.1943587758618355,-18.535399574597417,-31.522896698615607,0.0,0
upcard: A hand: A 6 cv bin: 2,-37.0275464445868,-23.982923154193895,-44.09090909090907,0.0,0
upcard: 2 hand: 20 cv bin: 2,62.82048556486247,-90.90909090909092,-200.0,9.688581314878892,0
upcard: 7 hand: A 4 cv bin: 2,-24.937862468931247,-3.695599319231713,-41.432225063938624,0.0,0
